Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Explicit Track
Never Lose Me,Never Lose Me - Single,Flo Milli,11/30/2023,USRC12303379,420,75,278132516,0,0,,0,0,0,0,0,0,1
Reggaeton Champagne,Kittyponeo,Bellakath,10/5/2023,BK4DA2319233,421,75,224429894,0,0,,0,0,0,0,0,0,1
MASHA ULTRAFUNK,MASHA ULTRAFUNK,Histed,3/8/2024,QZES82406061,422,74,32435333,0,0,76.0,0,0,0,0,0,0,0
Under The Influence,Indigo (Extended),Chris Brown,10/4/2019,USRC11902743,423,74,1249760413,0,0,79.0,0,0,0,0,0,0,1
Life Goes On,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Oliver Tree,7/17/2020,USAT22007153,424,74,568230113,0,0,68.0,0,0,0,0,0,0,0
Si Una Vez (Remasterizado 2024/30th Anniversary),Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/2024,USUM72402913,425,74,212272036,13,0,,0,0,0,0,0,0,0
BATTER UP,BABYMONSTER Debut Digital Single [BATTER UP],Babymonster,11/27/2023,KRA402300048,426,74,121497542,0,0,80.0,0,0,0,0,0,0,0
SI NO ES CONTIGO,SI NO ES CONTIGO,Cris Mj,5/23/2024,QM6N22466972,427,74,45287928,0,0,81.0,0,0,0,0,0,0,1
Trance (with Travis Scott & Young Thug),HEROES & VILLAINS,Metro Boomin,12/2/2022,USUG12208787,429,74,637325281,0,0,79.0,0,0,0,0,0,0,1
Rock and A Hard Place,Rock and A Hard Place,Bailey Zimmerman,6/10/2022,USWB12201797,430,74,412845771,0,0,73.0,0,0,0,0,0,0,0
obsessed,GUTS (spilled),Olivia Rodrigo,3/22/2024,USUG12305564,428,74,129968407,0,0,,0,0,0,0,0,0,1
Eyes Closed,Eyes Closed,Imagine Dragons,4/3/2024,USUM72402448,431,74,51224852,0,0,,0,0,0,0,0,0,0
Wanna Be,Wanna Be (Alternate Versions),Glorilla,4/3/2024,USUM72403374,433,74,66836198,0,0,77.0,0,0,0,0,0,0,1
Don't Let Me Down,Pop Party,The Chainsmokers,1/1/2016,USQX91600011,432,74,1888829482,0,0,76.0,0,0,0,0,0,0,0
DDU-DU DDU-DU,SQUARE UP,Blackpink,6/15/2018,KRA401800096,434,74,701726499,0,0,65.0,0,0,0,0,0,0,0
telepatï¿½,Sin Miedo (del Amor y Otros Demonios) ï¿½,Kali Uchis,11/18/2020,GBUM72005748,435,73,1151629030,0,0,77.0,0,0,0,0,0,0,0
Wake Me Up,TRUE,Avicii,1/1/2013,SEUM71301326,436,73,2325017580,0,0,81.0,0,0,0,0,0,0,0
Overdrive (feat. Norma Jean Martine),Overdrive (feat. Norma Jean Martine),Ofenbach,10/6/2023,FR9W12347222,437,73,232417498,0,0,80.0,0,0,0,0,0,0,0
Chulo pt.2,Chulopt2,Bad Gyal,6/22/2023,USUM72305143,438,73,318567928,0,0,69.0,0,0,0,0,0,0,1
All Girls Are The Same,All Girls Are The Same,Juice Wrld,4/13/2018,USUG11800651,439,73,1615353665,0,0,76.0,0,0,0,0,0,32,1
Push Up - Main Edit,Push Up - Single,Creeds,3/31/2023,DEE862300564,441,73,274229438,0,0,77.0,0,0,0,0,0,0,0
Kings & Queens,Kings & Queens,Ava Max,3/12/2020,USAT21906943,440,73,955439608,0,0,73.0,0,0,0,0,0,0,0
Adore You,Adore You,Harry Styles,12/6/2019,USSM11912588,442,73,1670164200,0,0,78.0,0,0,0,0,0,0,0
HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,10/4/2019,USSM11904276,443,73,1625149693,0,0,78.0,0,0,0,0,0,0,1
UNAVAILABLE (feat. Musa Keys),Timeless,Davido,3/30/2023,GBARL2300322,444,73,155390490,0,0,68.0,0,0,0,0,0,0,1
Million Dollar Baby (Vhs),Million Dollar Baby - Single,Tommy Richman,4/26/2024,QM24S2402634,445,73,48720820,0,0,2.0,0,0,0,0,0,0,0
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",Taki Taki,Dj Snake,9/28/2018,USUG11802029,446,73,1570233605,0,0,65.0,0,0,0,0,0,0,1
"Chaleya (From ""Jawan"")","Chaleya (From ""Jawan"")",Anirudh Ravichander,8/14/2023,INS182302348,447,73,334578317,0,0,70.0,0,0,0,0,0,0,0
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook,11/20/2022,QZNMY2232113,448,73,419016792,0,0,42.0,0,0,0,0,0,0,0
ADIVINO,ADIVINO - Single,Myke Towers,4/25/2024,USWL12401327,449,72,118631919,0,0,84.0,0,0,0,0,0,0,1
THE BOX MEDLEY FUNK 2,THE BOX MEDLEY FUNK 2,The Box,4/18/2024,BKF5C2400003,450,72,51390127,0,0,78.0,0,0,0,0,0,0,0
Cruel Summer,Lover,Taylor Swift,8/23/2019,USUG11901472,451,72,2188247133,0,0,88.0,0,0,0,0,0,0,0
No Me Queda Mï¿½ï¿½s (Remasterizado 2024/30th Annivers,Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/2024,USUM72402906,452,72,171242868,15,0,,0,0,0,0,0,0,0
Breathe,2093,Yeat,2/16/2024,USUM72401623,453,72,131100973,0,0,,0,0,0,0,0,0,1
Unforgettable,EPIC AF,French Montana,1/1/2017,USSM11703478,454,72,2065697126,0,0,82.0,0,0,0,0,0,0,1
EASY,EASY,Le Sserafim,2/19/2024,USA2P2402101,455,72,141803939,0,0,78.0,0,0,0,0,0,0,0
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Peso Pluma: Bzrp Music Sessions, Vol. 55 - Single",Bizarrap,5/31/2023,UYB282301034,456,72,434019386,0,0,70.0,0,0,0,0,0,0,1
Faded,Faded,Benjamin Richter,7/28/2017,DEE861701287,458,72,120162,24,0,,0,0,43,0,0,0,0
Lose My Breath (Feat. Charlie Puth),Lose My Breath,Stray Kids,5/10/2024,US5TA2400074,457,72,29994527,0,0,57.0,0,0,0,0,0,0,0
ýýýýýýýýýý ýýýýýýýýýýýý,ýýýýýýýýýý ýýýýýýýýýýýý,Alex&Rus,7/3/2019,QM6N21999015,460,71,52830200,0,0,41.0,0,0,0,0,0,0,0
Move,Move - Single,Adam Port,6/7/2024,DEEC33501508,459,71,5917083,0,0,67.0,0,0,0,0,0,0,0
F.N,F.N,Lil Tjay,8/9/2019,USSM11904899,461,71,731933924,0,0,70.0,0,0,0,0,0,0,1
Say You Won't Let Go,Say You Won't Let Go,James Arthur,9/9/2016,DEE861600586,462,71,2830962669,0,0,82.0,0,0,0,0,0,0,0
Blank Space,1989 (Deluxe),Taylor Swift,1/1/2014,USCJY1431309,463,71,1829733410,0,0,76.0,0,0,0,0,0,0,0
Girls Like You,Red Pill Blues (Deluxe),Maroon 5,11/3/2017,USUM71710831,464,71,399689964,0,0,63.0,0,0,597,0,0,0,1
HUMBLE.,HUMBLE.,Kendrick Lamar,3/31/2017,USUM71703085,466,71,2226869580,0,0,80.0,0,0,0,0,0,0,1
Forget Me,Forget Me,Lewis Capaldi,9/9/2022,DEUM72204717,465,71,343556188,0,0,69.0,0,0,0,0,0,0,0
Sabka Malik Ek,Sabka Malik Ek,Dada Black Sheep,8/12/2022,FR9W12228852,467,71,2754,22,441,,0,0,0,0,0,0,0
Scared To Start,Scared To Start,Michael Marcagi,1/12/2024,USWB12400001,469,71,284119669,0,0,84.0,0,0,0,0,0,0,0
Super Freaky Girl,Super Freaky Girl,Nicki Minaj,8/12/2022,USUM72215262,468,71,549382975,0,0,64.0,0,0,0,0,0,0,1
Miracle (with Ellie Goulding),Miracle (with Ellie Goulding),Calvin Harris,3/10/2023,GBARL2300300,470,71,425999315,0,0,74.0,0,0,0,0,0,0,0
Somebody That I Used To Know,Making Mirrors (Deluxe),Gotye,1/1/2011,AUZS21100040,471,71,1752826514,0,0,74.0,0,0,0,0,0,0,0
We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,Charlie Puth,11/5/2015,USAT21502909,474,70,1859886400,0,0,78.0,0,0,0,0,0,0,0
Oh No,Cold As Ice,Kreepa,12/13/2019,USUYG1287925,473,70,40284121,0,0,41.0,0,0,0,0,0,0,1
Pop Out (feat. Lil Tjay),Pop Out (feat. Lil TJay),Polo G,2/7/2019,USQX91900309,472,70,858059276,0,0,70.0,0,0,0,0,0,0,1
7 Years,Lukas Graham (Blue Album),Lukas Graham,6/16/2015,USWB11506516,475,70,1916203330,0,0,78.0,0,0,0,0,0,0,0
Something in the Orange,Something in the Orange,Zach Bryan,4/22/2022,USWB12201213,478,70,891578597,0,0,82.0,0,0,0,0,0,0,0
AMARGURA,MAï¿½ï¿½ANA SERï¿½ï¿,Karol G,2/24/2023,USUM72222552,477,70,629102459,0,0,81.0,0,0,0,0,0,0,1
"Happy - From ""Despicable Me 2""",538 Hitzone Best Of 2013,Pharrell Williams,1/1/2013,USQ4E1300686,476,70,1379786786,0,0,75.0,0,0,0,0,0,0,0
I Wanna Party,I Wanna Party - Single,,5/31/2024,QZYFZ2445017,482,70,0,0,0,,0,0,0,0,0,0,0
Bailando Bachata,Bailando Bachata - Single,Chayanne,5/25/2023,USSD12201328,479,70,136724343,0,0,72.0,0,0,0,0,0,0,0
La Bebe (Remix) [Apple Music Live],Apple Music Live: Peso Pluma,Peso Pluma,12/6/2023,QMFMF2394976,480,70,0,0,0,,0,0,0,0,0,0,0
Treat You Better,Treat You Better,Shawn Mendes,6/3/2016,USUM71604711,481,70,2164074552,0,0,80.0,0,0,0,0,0,0,0
Feliz Cumpleaï¿½ï¿½os Fe,Feliz Cumpleaï¿½ï¿½os Fe,Feid,8/19/2022,USUM72215366,483,70,944833760,0,0,78.0,0,0,0,0,0,0,0
Let Her Go,Let Her Go,Passenger,7/27/2012,GBMQN1200012,484,70,2252713547,0,0,69.0,0,0,822,0,0,0,0
Fall Back,Fall Back / Selfish Game - Single,Lithe,3/21/2024,AUMEV2435468,485,70,78227549,0,0,81.0,0,0,0,0,0,0,0
Stressed Out,Stressed Out,Twenty One Pilots,4/28/2015,USAT21500597,482,70,2313532702,0,0,79.0,0,0,0,0,0,0,0
Astronaut In The Ocean,Astronaut In The Ocean (International Remixes),Masked Wolf,1/1/2019,USAT22100017,486,70,1251675613,0,0,67.0,0,0,0,0,0,0,1
All of Me,Love In The Future (South Africa Tour Edition),John Legend,1/1/2012,USSM11303954,487,69,2382407025,0,0,80.0,0,0,0,0,0,0,0
2055,2055,Sleepy Hallow,4/14/2021,USRC12100442,488,69,811700245,0,0,77.0,0,0,0,0,0,0,1
Bandit,Bandit - Single,Don Toliver,2/1/2024,USAT22400561,490,69,152597421,0,0,12.0,0,0,0,0,0,0,1
Redbone,Redbone,Childish Gambino,11/17/2016,USYAH1600107,489,69,1615152539,0,0,76.0,0,0,0,0,0,0,1
Yimmy Yimmy,Yimmy Yimmy (feat. Jacqueline Fernandez) - Single,Tayc,3/8/2024,USA2P2410436,491,69,28543791,0,0,74.0,0,0,0,0,0,0,0
"This Is The Thanks I Get?! - From ""Wish""","This Is The Thanks I Get?! (From ""Wish"")",Chris Pine,10/25/2023,USWD12328244,492,69,15090071,0,0,,0,0,0,0,0,0,0
We Don't Talk About Bruno,Encanto (Original Motion Picture Soundtrack),Carolina Gaitï¿½Ï¿½N - La G,11/19/2021,USWD12112915,493,69,502781351,0,0,68.0,0,0,0,0,0,0,0
You Proof,You Proof,Morgan Wallen,5/13/2022,USUG12203266,494,69,644437397,0,0,79.0,0,0,0,0,0,0,0
Enemy (with JID) - from the series Arcane League of Legends,Mercury - Act 1,Imagine Dragons,9/3/2021,USUM72119916,495,69,1502382072,0,0,75.0,0,0,0,0,0,0,0
Break My Heart,Break My Heart,Dua Lipa,3/25/2020,GBAHT1901303,496,69,1198689895,0,0,71.0,0,0,0,0,0,0,0
Shut Down,BORN PINK,Blackpink,9/16/2022,KRA402200020,497,69,654818451,0,0,67.0,0,0,0,0,0,0,0
Regalo De Dios,PRESENTE,Juliï¿½Ï¿½N Ï¿½Ï¿½Lvarez Y Su Norteï,11/17/2023,QZ7HP2300092,498,68,205050873,0,0,81.0,0,0,0,0,0,0,0
Never Let Go,Never Let Go - Single,Jung Kook,6/7/2024,USA2P2431076,499,68,26891849,722,0,81.0,0,0,0,0,0,0,0
Toyour ï¿½ï¿½ï¿,Amrat ï¿½ï¿½ï¿½ï,Rasha Nahas,1/20/2023,QMEU32211578,500,68,11360,26,0,6.0,0,0,0,0,0,0,0
Chill Vibes,Chill Vibes,Tollan Kim,3/31/2022,SGB502214297,501,68,1212312,560,0,32.0,0,0,0,0,0,0,0
MIA (feat. Drake),MIA (feat. Drake),Bad Bunny,10/11/2018,USWB11802236,503,68,1318254846,0,0,71.0,0,0,0,0,0,0,0
Toosie Slide,Toosie Slide,Drake,4/3/2020,USUG12001281,505,68,1059262917,0,0,64.0,0,0,0,0,0,0,1
MIENTRAS ME CURO DEL CORA,MAï¿½ï¿½ANA SERï¿½ï¿,Karol G,2/24/2023,USUM72300862,506,68,426341106,0,0,76.0,0,0,0,0,0,0,0
Down Bad,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401031,504,68,210385853,0,0,80.0,0,0,0,0,0,0,1
Ballin' (with Roddy Ricch),Perfect Ten,Mustard,6/28/2019,USUM71911808,502,68,907346612,0,0,69.0,0,0,0,0,0,0,1
La llama que Baila,La llama que Baila,El Reino Infantil,6/10/2022,ARF062200275,508,68,665611,145,0,22.0,0,0,0,0,0,0,0
Ain't No Love In Oklahoma (From Twisters: The Album),Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,5/16/2024,USAT22402805,507,68,33661899,0,0,79.0,0,0,0,0,0,0,0
Vegas (From the Original Motion Picture Soundtrack ELVIS),Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,5/6/2022,USRC12201441,509,68,553783547,0,0,68.0,0,0,0,0,0,0,1
El Merengue,El Merengue - Single,Marshmello,3/3/2023,USSD12300040,510,68,528420867,0,0,75.0,0,0,0,0,0,0,0
Made For Me,Made For Me,Muni Long,9/15/2023,USUG12307428,513,68,142945230,0,0,76.0,0,0,887,0,0,0,0
Let's Go 4,Let's Go 4,Mc Ig,9/11/2023,BXG6R2300792,511,68,269785626,0,0,,0,0,0,0,0,0,1
TELEKINESIS,UTOPIA,Travis Scott,7/28/2023,USSM12305019,512,68,313693195,0,0,75.0,0,0,0,0,0,0,1
Daqui pra Sempre,Daqui pra Sempre,Manu,9/22/2023,QZTPX2351515,514,68,181784966,0,0,76.0,0,0,0,6,179,0,0
Martin & Gina,THE GOAT,Polo G,5/15/2020,USQX92002595,516,68,885756212,0,0,76.0,0,0,0,0,0,0,1
"thank u, next","thank u, next",Ariana Grande,11/3/2018,USUM71819361,515,68,1878196824,0,0,73.0,0,0,0,0,0,0,1
One Dance,One Dance (feat. Wizkid & Kyla) - Single,Drake,4/4/2016,USCM51600028,518,67,3192204066,0,0,82.0,0,0,0,0,0,0,0
ily (i love you baby) (feat. Emilee),ily (feat. Emilee),Surf Mesa,11/26/2019,QZJRC1945204,517,67,912461674,0,0,70.0,0,0,0,0,0,0,0
Hope,?,Xxxtentacion,3/16/2018,USUG11800447,519,67,1442703001,0,0,78.0,0,0,0,0,0,0,1
TRUSTFALL,TRUSTFALL,P!Nk,1/27/2023,USRC12204190,520,67,255898884,0,0,65.0,0,0,0,0,0,0,0
Intentions (feat. Quavo),Intentions,Justin Bieber,2/7/2020,USUM72001302,521,67,1177960398,0,0,69.0,0,0,0,0,0,0,0
PRC,PRC,Peso Pluma,1/24/2023,QM4TW2315684,522,67,668103212,0,0,69.0,0,0,0,63,0,0,1
Lemonade,Lemonade,Internet Money,8/14/2020,QZJ842000368,523,67,1320495311,0,0,12.0,0,0,0,0,0,0,1
WITHOUT YOU,F*CK LOVE (SAVAGE),The Kid Laroi,11/6/2020,USSM12006586,524,67,927908363,0,0,69.0,0,0,0,0,0,0,1
Sensational (feat. Davido & Lojay),Sensational (feat. Davido & Lojay) - Single,Chris Brown,10/20/2023,USRC12302777,527,66,70652012,0,0,,0,0,0,0,0,0,1
LET GO,LET GO,Central Cee,12/15/2022,US39N2203950,526,66,415699405,0,0,70.0,0,0,0,0,0,0,1
Blister In The Sun,Violent Femmes (Deluxe Edition),Violent Femmes,12/1/2023,USC4R2338087,525,66,250321751,34,302,,0,0,0,0,0,0,0
Savage (feat. Beyoncï¿½ï¿½) - R,Savage (feat. Beyoncï¿½ï¿½) [Re,Megan Thee Stallion,4/29/2020,QMCE32000145,528,66,428986855,0,0,57.0,0,0,0,0,0,0,1
No Idea,No Idea,Don Toliver,5/29/2019,USAT21903300,529,66,922761340,0,0,74.0,0,0,0,0,0,0,0
Love Yourself,Love Yourself,Justin Bieber,11/9/2015,USUM71516761,530,66,2423583406,0,0,78.0,0,0,0,0,0,0,0
Tï¿½ï¿½ ,Dolido Pero No Arrepentido - EP,Fuerza Regida,2/9/2024,QZ9QQ2400125,531,66,188154454,0,0,82.0,0,0,0,0,0,0,0
Cari Mama Muda (Senorita Joven) - Original Mix,Cari Mama Muda (Senorita Joven),Carella,2/13/2021,ITH642025474,532,66,149072,53,0,7.0,0,0,0,0,0,0,0
Need A Favor,NEED A FAVOR,Jelly Roll,12/9/2022,QMRSZ2203220,533,66,166866092,0,0,73.0,0,0,0,0,0,0,0
Heeriye (feat. Arijit Singh),Heeriye (feat. Arijit Singh),Jasleen Royal,7/25/2023,INW262317690,534,66,296399608,0,0,74.0,0,0,0,0,0,0,0
Work from Home (feat. Ty Dolla $ign),Pop Party,Fifth Harmony,1/1/2016,USSM11600251,535,66,1429277695,0,0,71.0,0,0,0,0,0,0,0
Anabella,Anabella,Khaid,7/14/2023,US23A1566792,536,66,14645123,0,0,52.0,0,0,0,0,0,0,1
Cuando Te Amï¿,Cuando Te Amï¿½ï¿½ - Si,Cupula Roja,6/8/2024,UKXN22459926,537,66,0,0,0,,0,436,0,0,0,0,0
Bam Bam (feat. Ed Sheeran),#NAME?,Camila Cabello,10/29/2021,USSM12200047,539,66,907821800,0,0,68.0,0,0,0,0,0,0,0
The Motto,The Motto,Tiï¿½Ï¿,11/4/2021,CYA112001070,540,66,818199643,0,0,70.0,0,0,0,0,0,0,0
Single Soon,Single Soon,Selena Gomez,8/25/2023,USUM72310919,538,66,205555865,0,0,70.0,0,0,0,0,0,0,0
Falling Down - Bonus Track,Falling Down,Lil Peep,9/19/2018,USQX91802294,541,66,1156060152,0,0,76.0,0,0,0,0,0,0,1
Close,Close - Single,Kush & Tj,9/14/2023,QZTAX2379776,543,65,0,0,0,,0,0,0,0,0,0,0
Sin Pijama,Sin Pijama,Becky G,4/20/2018,USSD11800157,542,65,785389574,0,0,61.0,0,0,0,0,0,0,0
Wasted On You,Dangerous: The Double Album,Morgan Wallen,1/8/2021,USUG12004194,545,65,717226454,0,0,79.0,0,0,0,0,0,0,0
BREAK MY SOUL,BREAK MY SOUL,Beyoncï¿,6/21/2022,USSM12206234,544,65,443564590,0,0,64.0,0,0,0,0,0,0,0
Nimbu Kharbuja Bhail 2,Nimbu Kharbuja Bhail 2,Khesari Lal Yadav,12/11/2023,ING642308945,546,65,9396018,139,0,,0,0,0,0,0,0,0
Murder In My Mind,Murder In My Mind,Kordhell,1/21/2022,QM4TW2218315,547,65,668285368,0,0,74.0,0,0,0,0,0,0,1
Unstoppable,Unstoppable,Sia,1/21/2016,USRC11502934,548,65,1285237951,0,0,76.0,0,0,0,0,0,0,0
traitor,SOUR,Olivia Rodrigo,5/21/2021,USUG12101243,550,65,1564979439,0,0,80.0,0,0,0,0,0,0,0
goosebumps,Birds In The Trap Sing McKnight,Travis Scott,9/16/2016,USSM11607555,549,65,2396737761,0,0,82.0,0,0,0,0,0,0,1
DIME QUE,DIME QUE,Ian G.,7/16/2021,QZS632157305,559,65,0,0,0,,0,0,0,0,0,0,0
Quï¿½ï¿½ Mï¿½ï¿,Quï¿½ï¿½ Mï¿½ï¿,J Balvin,5/28/2021,QZM5U2100064,552,65,811810737,0,0,67.0,0,0,0,0,0,0,0
Hrs and Hrs,Public Displays of Affection,Muni Long,11/19/2021,QZAKB2136210,551,65,241632869,0,0,67.0,0,0,0,0,0,0,1
Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,Bts,4/12/2019,QM6MZ1917908,553,65,1165842896,0,0,70.0,0,0,0,0,0,0,0
Broccoli,Broccoli - Single,Ati2X06,1/17/2024,ES64E2455101,626,64,846435891,1,42,,0,0,0,0,0,0,0
Angel Baby,Angel Baby,Troye Sivan,9/9/2021,AUUM72100371,554,64,533416336,0,0,68.0,0,0,0,0,0,0,0
Way 2 Sexy (with Future & Young Thug),Certified Lover Boy,Drake,9/3/2021,USUG12104403,555,64,559759920,0,0,67.0,0,0,0,0,0,0,1
Bhauji Lenge Lenge,Bhauji Lenge Lenge,Khesari Lal Yadav,4/5/2024,ING642402634,556,64,1319711,27,0,,0,0,0,0,0,0,0
SORRY 4 THAT MUCH,SORRY 4 THAT MUCH,Feid,6/7/2024,USUM72406641,557,64,8757910,0,0,71.0,0,0,0,0,0,0,1
I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,Mï¿½Ï¿½Ne,3/19/2021,ITB002100115,558,64,1053626902,0,0,77.0,0,0,0,0,0,0,1
PUFFIN ON ZOOTIEZ,I NEVER LIKED YOU,Future,4/29/2022,USSM12203787,560,64,395167576,0,0,71.0,0,0,0,0,0,0,1
3D (feat. Jack Harlow),3D (feat. Jack Harlow),Jung Kook,9/29/2023,USA2P2346470,559,64,573249007,0,0,74.0,0,0,0,0,0,0,1
XO Tour Llif3,XO TOUR Llif3,Lil Uzi Vert,3/24/2017,USAT21700684,562,64,2123458039,0,0,24.0,0,0,0,0,0,0,1
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna,10/28/2022,QMJMT2204481,563,64,378282960,0,0,65.0,0,0,0,0,0,0,0
Desire (with Sam Smith),Desire (with Sam Smith),Calvin Harris,7/28/2023,GBARL2300798,561,64,226519256,0,0,75.0,0,0,0,0,0,0,0
Cute,Cute,Aurel Surya Lie,8/29/2022,SGB502236207,564,64,142732,90,0,21.0,0,0,0,0,0,0,0
Cold Heart - PNAU Remix,Diamonds (Deluxe),Elton John,11/10/2017,GBUM72104705,565,64,2011121774,0,0,77.0,0,0,0,0,0,0,0
Con Altura,Con Altura,Rosalï¿½,3/28/2019,USSM11900950,566,63,770653954,0,0,66.0,0,0,0,0,0,0,0
ýýýýýý (HEYA),IVE SWITCH,Ive,4/29/2024,QM4TX2478220,568,63,32189908,0,0,60.0,0,0,0,0,0,0,0
LA CANCIï¿½,OASIS,J Balvin,6/28/2019,USUM71911618,570,63,1706325903,0,0,79.0,0,0,0,0,0,0,0
In My Mind,In My Mind,Dynoro,11/15/2017,QZ22B1859046,567,63,1432473324,0,0,74.0,0,0,0,0,0,0,0
Chandelier,Todo Exitos 2014 (Los Nï¿½ï¿½mero 1 Del A,Sia,1/1/2014,USRC11400498,569,63,1729264620,0,0,75.0,0,0,0,0,0,0,0
Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),Benny Blanco,7/12/2018,USUM71809132,571,63,1736530084,0,0,73.0,0,0,0,0,0,0,0
Godzilla (feat. Juice WRLD),Music To Be Murdered By,Eminem,1/17/2020,USUM72000788,572,63,1456635235,0,0,78.0,0,0,0,0,0,0,1
All About That Bass,Los Nï¿½ï¿½meros 1 De 40 (El Disco De Los ï¿½ï,Meghan Trainor,1/1/2014,USSM11401317,573,63,815661095,0,0,70.0,0,0,0,0,0,0,1
"Besharam Rang (From ""Pathaan"")","Besharam Rang (From ""Pathaan"")",Vishal-Shekhar,12/12/2022,INY092200126,574,63,218291402,0,0,66.0,0,0,0,0,0,0,0
MR. TAKE YA B*TCH (FEAT. CHRISEANROCK),MR. TAKE YA B*TCH (FEAT. CHRISEANROCK),Lil Mabu,10/17/2023,QZVEM2364808,575,63,64754747,0,0,,0,0,0,0,0,0,1
Cheques,Still Rollin,Shubh,5/19/2023,QM6P42332212,576,63,276505971,0,0,73.0,0,0,0,0,0,0,0
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Riton,1/15/2021,GBCEN2000163,577,63,979440925,0,0,72.0,0,0,0,0,0,0,0
VAGABUNDO,VAGABUNDO,Sebastian Yatra,5/12/2023,USUM72305982,578,63,337650898,0,0,75.0,0,0,0,0,0,0,0
Cheap Thrills,Cheap Thrills,Sia,12/17/2015,USRC11502935,580,63,1779046979,0,0,70.0,0,0,0,0,0,0,0
Yummy,Yummy,Justin Bieber,1/3/2020,USUM71923046,579,63,792379282,0,0,62.0,0,0,0,0,0,0,0
On My Mama,On My Mama,Victoria Monï¿½,6/16/2023,USRC12204025,582,63,119798692,0,0,65.0,0,0,0,0,0,0,1
Wishing Well,Legends Never Die,Juice Wrld,7/10/2020,USUG12001905,583,63,901486450,0,0,71.0,0,0,0,0,0,0,1
Jale 2 (feat. Vinay Yadav & Neha Shukla),Jale 2 (feat. Vinay Yadav & Neha Shukla),Shiva Choudhary,10/26/2023,ZA41S2304411,581,63,0,3,710,,0,0,0,0,0,0,0
Too Good At Goodbyes,Too Good At Goodbyes,Sam Smith,9/8/2017,GBUM71704089,584,62,2061017397,0,0,78.0,0,0,0,0,0,0,0
SPECIALZ,SPECIALZ,King Gnu,9/1/2023,JPU902303303,585,62,178413226,0,0,78.0,0,0,0,0,0,0,0
Ta Ta Ta,Bayanni,Bayanni,8/24/2022,NGA3B2219002,586,62,85207310,0,0,62.0,0,0,0,0,0,0,1
Un Finde | CROSSOVER #2,Un Finde | CROSSOVER #2,Big One,4/4/2023,ARP7V2300002,588,62,361219290,0,0,72.0,0,0,0,0,0,0,0
There's Nothing Holdin' Me Back,Illuminate,Shawn Mendes,9/23/2016,USUM71702833,589,62,2043626431,0,0,80.0,0,0,0,0,0,0,0
Gulabi Sadi,Gulabi Sadi,Sanju Rathod,2/6/2024,FR2X42446102,587,62,34996527,983,0,69.0,0,0,0,0,0,0,0
Breaking Me,Breaking Me (feat. A7S),Topic,12/19/2019,DEUM71906724,590,62,1128612961,0,0,69.0,0,0,0,0,0,0,0
The 5th Letter,Underhanded,Hollywood Dots The Oncelor,10/28/2022,QZANY1700215,591,62,0,0,0,,0,0,0,0,0,0,1
Belong Together,Belong Together - Single,Mark Ambor,2/16/2024,QM24S2400638,592,62,233969547,0,0,87.0,0,0,0,0,0,0,0
Shake It Off,1989 (Deluxe),Taylor Swift,1/1/2014,USCJY1431349,593,62,1409692678,0,0,74.0,0,0,0,0,0,0,0
LOVELY BASTARDS,LOVELY BASTARDS,Zwe1Hvndxr,8/25/2023,QZPLS2390181,594,62,224798632,0,0,,0,0,0,0,0,0,1
La Curiosidad,Platonicos,Jay Wheeler,6/12/2020,USUYG1313832,595,62,1099019265,0,0,78.0,0,0,0,0,0,0,0
EL MAKINON,EL MAKINON,Karol G,3/24/2021,USUM72023904,596,62,574357002,0,0,69.0,0,0,0,0,0,0,0
In The Stars,In The Stars,Benson Boone,4/29/2022,USWB12201574,597,61,725214939,0,0,74.0,0,0,0,0,0,0,0
Shirt,Shirt,Sza,10/28/2022,USRC12203632,598,61,469322271,0,0,73.0,0,0,0,0,0,0,1
Tiryakinim,Tiryakinim,Bayhan,4/18/2024,QZK6N2415960,599,61,34304595,0,0,71.0,0,0,0,0,0,0,0
